IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
155.248.162.160,80,80,FALSE,HKG,Asia Pacific,Hong Kong,151,8.51
141.144.199.77,443,443,TRUE,FRA,Europe,Frankfurt,219,8.5
141.147.160.86,2096,2096,TRUE,LAX,North America,Los Angeles,253,8.5
158.101.140.255,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,177,8.5
131.186.44.38,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,154,8.5
158.101.158.251,80,80,FALSE,SIN,Asia Pacific,Singapore,149,8.49
168.138.197.222,2052,2052,FALSE,LAX,North America,Los Angeles,193,8.48
152.70.106.195,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,141,8.48
129.146.84.236,443,443,TRUE,LAX,North America,Los Angeles,180,8.48
141.147.164.54,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,87,8.48
150.230.99.173,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,199,8.47
152.70.99.187,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,139,8.46
150.230.108.135,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,159,8.46
150.230.196.73,2086,2086,FALSE,SIN,Asia Pacific,Singapore,168,8.45
150.230.105.53,8080,8080,FALSE,SIN,Asia Pacific,Singapore,155,8.45
150.230.101.125,80,80,FALSE,HKG,Asia Pacific,Hong Kong,144,8.45
152.70.104.69,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,140,8.44
141.147.167.44,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,85,8.44
152.70.102.124,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,182,8.43
158.101.158.238,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,146,8.42
141.147.175.230,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,135,8.42
150.230.204.117,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,143,8.42
150.230.196.73,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,146,8.41
150.230.105.228,80,80,FALSE,HKG,Asia Pacific,Hong Kong,134,8.41
131.186.45.88,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,138,8.39
140.238.61.224,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,77,8.39
168.138.200.155,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,187,8.39
152.70.172.136,443,443,TRUE,FRA,Europe,Frankfurt,198,8.38
158.101.139.42,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,115,8.38
131.186.47.255,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,141,8.37
132.145.120.182,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,156,8.37
158.101.158.251,2095,2095,FALSE,SIN,Asia Pacific,Singapore,152,8.37
168.138.196.164,2087,0,TRUE,HKG,Asia Pacific,Hong Kong,187,8.35
141.148.234.195,443,443,TRUE,FRA,Europe,Frankfurt,200,8.35
168.138.198.53,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,78,8.35
141.147.110.38,443,443,TRUE,FRA,Europe,Frankfurt,175,8.35
140.238.220.85,443,443,TRUE,MXP,Europe,Milan,172,8.34
131.186.59.94,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,147,8.34
152.70.102.124,80,80,FALSE,HKG,Asia Pacific,Hong Kong,133,8.34
151.145.65.203,80,80,FALSE,HKG,Asia Pacific,Hong Kong,147,8.34
152.70.107.26,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,155,8.34
168.138.205.195,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,73,8.34
131.186.63.184,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,187,8.33
150.230.204.117,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,196,8.32
152.70.102.124,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,133,8.32
131.186.34.244,80,80,FALSE,HKG,Asia Pacific,Hong Kong,149,8.31
141.147.47.46,443,443,TRUE,FRA,Europe,Frankfurt,186,8.3
150.230.99.173,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,143,8.3
158.101.154.70,80,80,FALSE,HKG,Asia Pacific,Hong Kong,196,8.29
132.145.113.148,80,80,FALSE,SIN,Asia Pacific,Singapore,162,8.29
131.186.61.45,2087,2087,TRUE,LAX,North America,Los Angeles,191,8.28
152.70.102.124,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,134,8.28
132.145.120.115,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,75,8.28
151.145.74.56,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,146,8.28
158.101.149.122,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,150,8.28
152.70.104.69,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,144,8.27
150.230.108.135,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,301,8.27
158.101.206.70,2053,443,TRUE,AMS,Europe,Amsterdam,213,8.27
150.230.212.213,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,145,8.26
158.101.139.42,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,208,8.26
152.70.103.145,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,140,8.26
140.238.61.224,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,78,8.26
152.70.98.174,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,83,8.25
130.162.182.204,443,443,TRUE,FRA,Europe,Frankfurt,199,8.24
158.101.136.239,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,180,8.24
132.145.113.148,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,154,8.23
141.147.179.64,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,127,8.22
152.67.138.116,443,443,TRUE,FRA,Europe,Frankfurt,196,8.22
150.230.192.173,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,146,8.21
158.101.139.42,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,145,8.21
158.101.142.103,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,77,8.21
158.180.12.189,443,443,TRUE,FRA,Europe,Frankfurt,172,8.2
158.101.146.165,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,215,8.2
158.101.146.165,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,139,8.19
158.101.159.212,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,146,8.19
158.101.140.154,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,186,8.19
150.230.200.210,2095,2095,FALSE,SIN,Asia Pacific,Singapore,200,8.19
158.101.144.34,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,143,8.18
150.230.207.53,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,79,8.18
152.70.106.13,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,103,8.18
132.145.114.4,80,80,FALSE,HKG,Asia Pacific,Hong Kong,142,8.17
168.138.206.68,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,146,8.16
141.147.109.170,443,443,TRUE,FRA,Europe,Frankfurt,243,8.16
158.101.140.255,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,144,8.16
150.230.109.138,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,147,8.16
158.101.149.122,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,192,8.15
141.147.178.202,2086,2086,FALSE,SIN,Asia Pacific,Singapore,156,8.14
131.186.62.26,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,152,8.13
131.186.59.232,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,185,8.13
158.101.140.255,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,146,8.13
132.145.121.34,2083,2083,TRUE,SIN,Asia Pacific,Singapore,222,8.13
132.145.121.247,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,149,8.12
130.162.188.186,443,443,TRUE,AMS,Europe,Amsterdam,196,8.11
132.145.112.168,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,144,8.11
158.101.136.239,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,142,8.11
152.70.99.187,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,137,8.11
150.230.202.232,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,132,8.11
131.186.37.49,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,131,8.1
132.145.113.148,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,137,8.1
150.230.216.117,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,78,8.1
150.230.105.53,80,80,FALSE,SIN,Asia Pacific,Singapore,160,8.09
158.101.137.74,80,80,FALSE,SIN,Asia Pacific,Singapore,155,8.09
158.101.159.212,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,194,8.09
132.145.120.103,2052,2052,FALSE,SIN,Asia Pacific,Singapore,160,8.09
158.101.215.89,443,443,TRUE,FRA,Europe,Frankfurt,195,8.08
150.230.212.9,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,81,8.08
131.186.34.244,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,164,8.08
158.101.140.154,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,150,8.08
151.145.71.127,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,145,8.07
130.162.169.91,443,443,TRUE,FRA,Europe,Frankfurt,173,8.07
150.230.97.239,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,210,8.07
150.230.219.83,80,80,FALSE,HKG,Asia Pacific,Hong Kong,145,8.07
151.145.75.28,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,81,8.05
155.248.160.83,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,162,8.05
150.230.208.113,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,146,8.04
131.186.63.127,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,148,8.04
158.101.155.246,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,201,8.04
131.186.63.184,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,142,8.03
151.145.71.127,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,191,8.02
168.138.202.169,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,78,8.02
152.70.102.124,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,135,8.02
132.145.121.242,80,80,FALSE,HKG,Asia Pacific,Hong Kong,144,8
132.145.114.4,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,144,7.99
155.248.162.160,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,142,7.99
141.147.164.54,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,106,7.98
158.101.205.28,443,443,TRUE,FRA,Europe,Frankfurt,173,7.98
152.70.99.187,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,146,7.98
158.101.150.126,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,81,7.97
155.248.162.160,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,158,7.97
158.178.153.195,443,443,TRUE,FRA,Europe,Frankfurt,199,7.97
158.101.136.239,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,149,7.97
155.248.162.160,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,143,7.96
158.101.159.181,8880,8880,FALSE,SIN,Asia Pacific,Singapore,204,7.96
168.138.194.121,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,92,7.96
158.101.139.42,2083,2083,TRUE,SIN,Asia Pacific,Singapore,252,7.95
158.101.149.81,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,147,7.94
131.186.47.255,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,162,7.94
152.70.106.21,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,97,7.94
158.101.140.154,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,140,7.94
150.230.212.87,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,141,7.94
151.145.74.199,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,190,7.93
144.24.167.149,443,443,TRUE,FRA,Europe,Frankfurt,210,7.93
141.147.178.135,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,157,7.92
132.145.112.168,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,152,7.92
158.101.136.239,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,150,7.91
150.230.106.21,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,143,7.9
151.145.71.127,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,147,7.9
131.186.39.42,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,123,7.89
151.145.70.28,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,142,7.88
152.70.103.145,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,190,7.88
132.145.120.182,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,186,7.88
158.101.136.239,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,138,7.88
131.186.63.35,2052,2052,FALSE,SIN,Asia Pacific,Singapore,148,7.88
158.101.131.218,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,154,7.88
131.186.61.45,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,95,7.88
151.145.71.40,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,86,7.87
158.101.136.239,8080,8080,FALSE,LAX,North America,Los Angeles,181,7.87
132.145.112.168,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,144,7.87
158.101.159.212,8443,8443,TRUE,LAX,North America,Los Angeles,280,7.87
141.147.183.96,80,80,FALSE,HKG,Asia Pacific,Hong Kong,140,7.87
141.147.174.190,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,153,7.86
131.186.37.49,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,163,7.86
158.101.155.115,80,80,FALSE,HKG,Asia Pacific,Hong Kong,153,7.86
131.186.47.223,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,141,7.85
152.70.107.26,80,80,FALSE,HKG,Asia Pacific,Hong Kong,145,7.85
131.186.47.223,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,80,7.84
158.101.149.122,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,149,7.84
158.101.155.246,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,187,7.84
150.230.99.173,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,140,7.84
129.159.198.4,443,443,TRUE,FRA,Europe,Frankfurt,191,7.84
152.70.102.124,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,159,7.83
143.47.182.245,443,443,TRUE,FRA,Europe,Frankfurt,179,7.83
143.47.184.23,443,443,TRUE,FRA,Europe,Frankfurt,246,7.81
141.147.168.159,2096,2096,TRUE,LAX,North America,Los Angeles,193,7.8
150.230.200.210,2087,2087,TRUE,SIN,Asia Pacific,Singapore,156,7.79
132.145.120.197,80,80,FALSE,HKG,Asia Pacific,Hong Kong,142,7.79
141.147.178.115,2086,2086,FALSE,SIN,Asia Pacific,Singapore,201,7.78
151.145.74.56,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,142,7.78
132.145.120.115,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,127,7.78
150.230.202.132,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,146,7.78
152.70.106.195,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,156,7.78
131.186.61.45,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,158,7.78
151.145.65.8,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,76,7.77
141.144.204.194,443,443,TRUE,FRA,Europe,Frankfurt,195,7.77
144.21.57.92,443,443,TRUE,FRA,Europe,Frankfurt,172,7.77
